"Story","Title","Result","Date","Stability","Duration (s)"
"Testmaster login with OTP confirmation code","Show Homepage with valid credential","SUCCESS","2020-06-04T23:36:13.072+07:00[Asia/Bangkok]","0.0","55.59"
"Testmaster login with OTP confirmation code","Show Homepage with valid credential","SUCCESS","2020-06-04T23:38:12.835+07:00[Asia/Bangkok]","0.0","17.58"
